code,name,theme,segment,pool_level,is_core,notes
300308,中际旭创,ai_hardware,CPO/光模块,主攻池,1,高拥挤方向；回踩或确认后参与
300502,新易盛,ai_hardware,CPO/光模块,主攻池,1,高弹性核心
300394,天孚通信,ai_hardware,CPO/光模块,主攻池,1,光器件核心
002281,光迅科技,ai_hardware,CPO/光模块,备选池,0,国资光通信链
601138,工业富联,ai_server_pcb,AI服务器,主攻池,1,当前持仓；单票需降至10%以下
300476,胜宏科技,ai_server_pcb,PCB,主攻池,1,PCB弹性方向
002463,沪电股份,ai_server_pcb,PCB,主攻池,1,AI服务器PCB
002916,深南电路,ai_server_pcb,PCB,备选池,0,高端PCB
600183,生益科技,ai_server_pcb,覆铜板,备选池,0,材料端
002384,东山精密,ai_server_pcb,PCB/消费电子,备选池,0,需区分AI链与消费电子链
688981,中芯国际,semiconductor,制造,主攻池,1,当前持仓；科创板颗粒例外
688041,海光信息,semiconductor,算力芯片,主攻池,1,国产算力芯片
688256,寒武纪,semiconductor,算力芯片,备选池,0,高波动高估值
002371,北方华创,semiconductor,设备,主攻池,1,设备核心
688012,中微公司,semiconductor,设备,主攻池,1,设备核心
688072,拓荆科技,semiconductor,设备,备选池,0,设备扩散
688008,澜起科技,semiconductor,存储/接口芯片,备选池,0,存储链
688525,佰维存储,semiconductor,存储,观察池,0,高波动
002747,埃斯顿,robotics,机器人本体/控制,试错池,0,当前持仓；仓位偏大
002050,三花智控,robotics,机器人零部件,试错池,1,执行器链
688017,绿的谐波,robotics,减速器,试错池,0,高波动
300124,汇川技术,robotics,工控/机器人,试错池,1,质量更稳
601689,拓普集团,robotics,执行器/汽零,备选池,0,人形机器人链
603728,鸣志电器,robotics,电机,备选池,0,题材弹性
603662,柯力传感,robotics,传感器,观察池,0,题材弹性
688297,中无人机,low_altitude,无人机/商业航天,观察池,0,事件驱动
002389,航天彩虹,low_altitude,无人机,观察池,0,事件驱动
002085,万丰奥威,low_altitude,低空经济,观察池,0,高波动
001696,宗申动力,low_altitude,低空经济,观察池,0,事件驱动
000099,中信海直,low_altitude,低空运营,观察池,0,政策催化
601088,中国神华,defensive,煤炭/高股息,防守池,1,当前持仓；防守仓不按MA30直接清仓
600900,长江电力,defensive,水电/高股息,防守池,1,低波动核心
600406,国电南瑞,defensive,电网设备,防守池,0,当前持仓；更偏趋势防守
600941,中国移动,defensive,运营商/高股息,防守池,1,低波动核心
600938,中国海油,defensive,能源/高股息,防守池,1,资源防守
601225,陕西煤业,defensive,煤炭/高股息,防守池,0,资源防守
